schedule_id,flight_date,origin_airport,dest_airport,dept_time,arr_time,flight_id ,delay_time,flight_status_id 
SC000073248,1/18/2018,FNT,MDW,553,558,6588,-27,1
SC000073269,1/18/2018,HOU,ABQ,2153,2245,1485,-30,1
SC000073290,1/18/2018,HOU,CRP,1613,1711,33,1,3
SC000073311,1/18/2018,HOU,DAL,2158,2251,64,-14,1
SC000073332,1/18/2018,HOU,HRL,758,855,575,-5,1
SC000073353,1/18/2018,HOU,MCI,917,1104,981,29,3
SC000073374,1/18/2018,HOU,MSY,601,700,2028,-5,1
SC000073395,1/18/2018,HOU,SAT,1946,2037,987,-13,1
SC000073416,1/18/2018,IAD,DEN,528,654,803,-36,1
SC000073437,1/18/2018,IND,HOU,756,934,1859,-6,1
SC000073458,1/18/2018,ISP,BWI,1700,1800,1250,-5,1
SC000073479,1/18/2018,LAS,ABQ,825,1047,1546,12,3
SC000073500,1/18/2018,LAS,BUR,1521,1619,1693,9,3
SC000073521,1/18/2018,LAS,DEN,2007,2244,2057,-16,1
SC000073542,1/18/2018,LAS,LAX,1926,2033,1413,8,3
SC000073563,1/18/2018,LAS,MDW,1435,2003,6219,8,3
SC000073584,1/18/2018,LAS,ONT,2154,2247,1670,17,3
SC000073605,1/18/2018,LAS,RNO,2024,2139,452,-1,1
SC000073626,1/18/2018,LAS,SDF,1144,1834,310,19,3
SC000073647,1/18/2018,LAS,SLC,2148,2356,1682,-9,1
SC000073668,1/18/2018,LAS,TPA,1651,2400,6278,10,3
SC000073689,1/18/2018,LAX,DAL,1550,2047,5601,-3,1
SC000073710,1/18/2018,LAX,LAS,743,850,1901,5,3
SC000073731,1/18/2018,LAX,OAK,1607,1720,467,10,3
SC000073752,1/18/2018,LAX,PHX,2148,2355,6134,10,3
SC000073773,1/18/2018,LAX,SJC,637,745,1150,-10,1
SC000073794,1/18/2018,LAX,STL,1846,25,5902,30,3
SC000073815,1/18/2018,LGA,DEN,853,1101,1994,-44,1
SC000073836,1/18/2018,LGB,OAK,811,921,1212,-24,1
SC000073857,1/18/2018,MCI,ATL,1816,2109,1164,9,3
SC000073878,1/18/2018,MCI,DEN,603,651,818,-14,1
SC000073899,1/18/2018,MCI,MDW,628,752,120,-8,1
SC000073920,1/18/2018,MCI,SAN,745,924,1232,-1,1
SC000073941,1/18/2018,MCO,BNA,623,733,366,3,3
SC000073962,1/18/2018,MCO,DAL,1927,2109,2421,4,3
SC000073983,1/18/2018,MCO,IND,1518,1735,5731,-15,1
SC000074004,1/18/2018,MCO,MKE,2149,2333,5497,-17,1
SC000074025,1/18/2018,MCO,SJU,1948,2325,888,-5,1
SC000074046,1/18/2018,MDW,BNA,1722,1839,848,19,3
SC000074067,1/18/2018,MDW,CLE,2223,32,1466,2,3
SC000074088,1/18/2018,MDW,DCA,1535,1806,169,-14,1
SC000074109,1/18/2018,MDW,EWR,2238,116,4059,16,3
SC000074130,1/18/2018,MDW,LAS,1254,1426,176,-19,1
SC000074151,1/18/2018,MDW,MCI,615,732,690,-18,1
SC000074172,1/18/2018,MDW,MSP,838,955,1885,-15,1
SC000074193,1/18/2018,MDW,PHL,1730,2009,5465,39,3
SC000074214,1/18/2018,MDW,SAN,1230,1410,5370,-45,1
SC000074235,1/18/2018,MDW,TPA,1101,1426,519,1,3
SC000074256,1/18/2018,MHT,MDW,1628,1753,634,-12,1
SC000074277,1/18/2018,MKE,LAS,1220,1350,2305,-20,1
SC000074298,1/18/2018,MSP,DEN,1454,1537,61,-23,1
SC000074319,1/18/2018,MSY,AUS,1418,1545,1754,5,3
